full_name,season,games_started,games_played,avg_turnovers,avg_steals,avg_twos_made,avg_two_twos_pct,avg_threes_made,avg_threes_pct,avg_free_throws_made,avg_free_throws_pct,avg_minutes,avg_points,avg_rebounds,avg_assists
Roderick Davis,2015,35,35,0.3,0.0,0.5,0.2,0.0,0.0,0.1,6.7,4.5,1.2,0.6,0.1
Kyle Copeland,2017,31,31,0.2,0.2,0.1,7.5,0.4,14.6,0.1,5.0,5.0,1.6,0.6,0.4
De'Vaughn Reid,2014,30,30,0.6,0.1,0.2,0.1,0.0,0.0,0.2,11.8,6.8,0.7,0.6,0.6
Christian Adams,2016,39,39,0.4,0.5,0.4,21.1,0.0,0.0,0.1,6.7,5.7,0.9,0.6,0.5
Brody Hicks,2017,37,37,0.1,0.1,0.1,5.6,0.0,0.0,0.0,0.0,1.9,0.2,0.6,0.4
Grant Townsend,2016,33,33,0.2,0.0,0.3,12.5,0.0,0.0,0.2,3.6,2.1,0.8,0.6,0.1
Derrick Cook,2017,33,33,0.4,0.2,0.4,31.6,0.2,15.8,0.2,7.9,4.5,1.6,0.6,0.3
Robin Jorch,2015,32,32,0.3,0.1,0.5,0.2,0.0,0.0,0.4,17.7,7.0,1.3,0.6,0.0
Erik Johansson,2017,31,31,0.4,0.2,0.3,19.9,0.7,24.5,0.2,8.1,11.5,2.9,0.6,0.4
Haralds Karlis,2014,31,31,0.8,0.3,0.4,0.2,0.5,21.8,0.5,21.8,12.9,2.9,0.6,0.4
Sylvester Ogbonda,2016,37,37,0.2,0.1,0.4,11.7,0.0,0.0,0.3,11.5,3.2,1.0,0.6,0.1
Matt Farrell,2015,36,36,0.5,0.1,0.3,0.2,0.3,16.9,0.4,12.8,13.4,2.0,0.6,1.3
Phil Cofer,2015,34,34,0.2,0.1,0.4,0.2,0.0,0.0,0.5,15.4,12.0,1.2,0.6,0.1
Desmond Hubert,2014,38,38,0.2,0.0,0.1,0.0,0.0,0.0,0.1,3.9,3.9,0.2,0.6,0.0
Nick King,2016,34,34,0.2,0.1,0.1,8.8,0.1,4.7,0.1,4.9,2.6,0.7,0.6,0.1
Stefan Gonzalez,2016,34,34,0.3,0.0,0.3,16.7,0.5,16.4,0.1,9.8,5.1,2.3,0.6,0.3
Kodi Justice,2014,34,34,0.6,0.1,0.3,0.1,0.5,21.2,0.3,10.3,12.7,2.4,0.6,0.8
Tyler Clement,2015,35,35,0.4,0.3,0.2,0.2,0.1,5.7,0.2,7.9,5.2,1.0,0.6,0.5
Trey Mourning,2015,33,33,0.3,0.1,0.3,0.2,0.0,1.5,0.1,7.6,5.8,0.9,0.6,0.2
Zach Glotta,2016,30,30,0.4,0.3,0.2,16.7,0.8,20.3,0.1,3.3,12.3,2.8,0.6,0.9
Siyao Sun,2016,30,30,0.0,0.1,0.1,3.7,0.0,0.0,0.0,0.0,1.0,0.2,0.6,0.0
Vieux Kande,2014,36,36,0.3,0.0,0.4,0.2,0.0,0.0,0.2,8.7,3.2,1.0,0.6,0.0
Jamie Batish,2015,27,27,0.0,0.2,0.0,0.0,0.8,17.9,0.0,0.0,11.2,2.6,0.6,0.2
Ikem Eriobuna,2015,31,31,0.2,0.0,0.1,0.1,0.2,4.2,0.5,20.8,5.5,1.2,0.6,0.1
Kameron Mitchell,2015,33,33,0.3,0.3,0.1,0.1,0.3,7.4,0.0,1.2,9.2,1.1,0.6,0.5
Doug Brooks,2013,35,35,0.0,0.3,0.0,0.0,0.5,15.5,0.3,7.1,3.5,1.8,0.6,0.1
Jake Bodway,2015,33,33,0.4,0.2,0.3,0.2,0.0,0.0,0.2,10.9,9.1,0.8,0.6,0.3
Jake Bodway,2016,30,30,0.5,0.2,0.3,14.4,0.1,10.3,0.3,12.9,8.6,1.2,0.6,0.6
Desmond Fleming,2016,29,29,0.3,0.1,0.1,13.6,0.0,0.0,0.1,2.3,3.9,0.4,0.6,0.3
Kendall Jackson,2016,27,27,0.5,0.4,0.2,15.4,0.1,7.7,0.4,19.2,6.3,1.1,0.6,0.8
Fred John Jr,2015,32,32,0.1,0.0,0.1,0.1,0.0,0.0,0.2,10.7,2.5,0.5,0.6,0.0
Chandler Levingston Simon,2015,37,37,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,3.2,0.4,0.6,0.1
TJ Bell,2013,34,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.6,0.0
Mason Wedel,2014,33,33,0.4,0.5,0.0,0.0,0.3,16.7,0.3,11.1,7.9,0.9,0.6,0.5
Zach Frampton,2016,34,34,0.1,0.0,0.0,0.0,0.0,0.7,0.1,3.7,1.9,0.2,0.6,0.1
Jonathan Allen,2015,32,32,0.1,0.1,0.0,0.0,0.1,5.2,0.1,3.4,7.6,0.3,0.6,0.2
Chris Barnes,2016,32,32,0.2,0.1,0.2,19.4,0.0,0.0,0.1,2.8,3.8,0.5,0.6,0.1
Lucas O'Brien,2014,30,30,0.5,0.1,0.3,0.1,0.1,5.9,0.2,8.8,4.1,0.9,0.6,0.1
Ayinde Sprewell,2014,31,31,0.4,0.1,0.0,0.0,0.0,0.0,0.1,5.6,4.6,0.1,0.6,0.0
Steve Smith,2015,33,33,0.2,0.2,0.0,0.0,0.4,13.7,0.0,0.0,7.2,1.1,0.6,0.2
Clark Wilkinson,2016,31,31,0.1,0.0,0.2,14.7,0.0,0.0,0.4,20.6,3.8,0.9,0.6,0.1
Khari Holloway,2016,31,31,0.5,0.3,0.7,26.9,0.4,16.1,1.2,37.8,9.2,3.7,0.6,0.8
Daniel Andrews,2016,32,32,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.6,0.0
Scott Mammel,2015,33,33,0.4,0.1,0.2,0.2,0.1,3.3,0.4,20.0,5.8,1.0,0.6,0.6
Jalen Brown,2015,30,30,0.1,0.0,0.0,0.0,0.3,7.7,0.0,0.0,3.3,0.8,0.6,0.0
Danny Upchurch,2014,31,31,0.9,0.4,0.2,0.1,0.4,15.3,0.6,22.4,11.4,2.2,0.6,1.2
Wes Brewer,2014,33,33,0.7,0.0,0.3,0.1,0.0,0.0,0.0,0.0,4.0,0.6,0.6,0.0
